city,year,weekofyear,total_cases
sj,2008,18,15
sj,2008,19,21
sj,2008,20,12
sj,2008,21,15
sj,2008,22,26
sj,2008,23,14
sj,2008,24,24
sj,2008,25,27
sj,2008,26,38
sj,2008,27,41
sj,2008,28,23
sj,2008,29,20
sj,2008,30,44
sj,2008,31,26
sj,2008,32,43
sj,2008,33,57
sj,2008,34,38
sj,2008,35,51
sj,2008,36,33
sj,2008,37,122
sj,2008,38,37
sj,2008,39,35
sj,2008,40,45
sj,2008,41,46
sj,2008,42,47
sj,2008,43,21
sj,2008,44,46
sj,2008,45,43
sj,2008,46,28
sj,2008,47,29
sj,2008,48,41
sj,2008,49,27
sj,2008,50,21
sj,2008,51,16
sj,2008,52,15
sj,2009,1,29
sj,2009,2,9
sj,2009,3,14
sj,2009,4,27
sj,2009,5,12
sj,2009,6,17
sj,2009,7,15
sj,2009,8,19
sj,2009,9,12
sj,2009,10,8
sj,2009,11,24
sj,2009,12,7
sj,2009,13,8
sj,2009,14,14
sj,2009,15,10
sj,2009,16,12
sj,2009,17,15
sj,2009,18,15
sj,2009,19,15
sj,2009,20,26
sj,2009,21,23
sj,2009,22,20
sj,2009,23,26
sj,2009,24,25
sj,2009,25,31
sj,2009,26,29
sj,2009,27,16
sj,2009,28,31
sj,2009,29,28
sj,2009,30,25
sj,2009,31,34
sj,2009,32,17
sj,2009,33,40
sj,2009,34,29
sj,2009,35,35
sj,2009,36,36
sj,2009,37,40
sj,2009,38,31
sj,2009,39,30
sj,2009,40,39
sj,2009,41,60
sj,2009,42,41
sj,2009,43,28
sj,2009,44,26
sj,2009,45,23
sj,2009,46,10
sj,2009,47,30
sj,2009,48,16
sj,2009,49,38
sj,2009,50,26
sj,2009,51,35
sj,2009,52,19
sj,2010,53,19
sj,2010,1,27
sj,2010,2,25
sj,2010,3,27
sj,2010,4,20
sj,2010,5,32
sj,2010,6,21
sj,2010,7,23
sj,2010,8,31
sj,2010,9,15
sj,2010,10,43
sj,2010,11,23
sj,2010,12,14
sj,2010,13,12
sj,2010,14,21
sj,2010,15,16
sj,2010,16,31
sj,2010,17,30
sj,2010,18,30
sj,2010,19,34
sj,2010,20,32
sj,2010,21,32
sj,2010,22,98
sj,2010,23,33
sj,2010,24,27
sj,2010,25,51
sj,2010,26,38
sj,2010,27,32
sj,2010,28,63
sj,2010,29,50
sj,2010,30,48
sj,2010,31,31
sj,2010,32,99
sj,2010,33,40
sj,2010,34,45
sj,2010,35,46
sj,2010,36,90
sj,2010,37,32
sj,2010,38,33
sj,2010,39,46
sj,2010,40,55
sj,2010,41,70
sj,2010,42,26
sj,2010,43,17
sj,2010,44,40
sj,2010,45,41
sj,2010,46,22
sj,2010,47,16
sj,2010,48,28
sj,2010,49,21
sj,2010,50,11
sj,2010,51,23
sj,2011,52,18
sj,2011,1,16
sj,2011,2,28
sj,2011,3,13
sj,2011,4,12
sj,2011,5,14
sj,2011,6,14
sj,2011,7,6
sj,2011,8,10
sj,2011,9,15
sj,2011,10,5
sj,2011,11,12
sj,2011,12,10
sj,2011,13,23
sj,2011,14,21
sj,2011,15,15
sj,2011,16,16
sj,2011,17,9
sj,2011,18,19
sj,2011,19,16
sj,2011,20,36
sj,2011,21,64
sj,2011,22,42
sj,2011,23,54
sj,2011,24,94
sj,2011,25,48
sj,2011,26,51
sj,2011,27,46
sj,2011,28,51
sj,2011,29,55
sj,2011,30,48
sj,2011,31,58
sj,2011,32,42
sj,2011,33,50
sj,2011,34,51
sj,2011,35,29
sj,2011,36,35
sj,2011,37,48
sj,2011,38,63
sj,2011,39,35
sj,2011,40,30
sj,2011,41,48
sj,2011,42,41
sj,2011,43,32
sj,2011,44,36
sj,2011,45,20
sj,2011,46,29
sj,2011,47,34
sj,2011,48,32
sj,2011,49,8
sj,2011,50,20
sj,2011,51,19
sj,2012,52,15
sj,2012,1,17
sj,2012,2,13
sj,2012,3,20
sj,2012,4,16
sj,2012,5,12
sj,2012,6,9
sj,2012,7,12
sj,2012,8,9
sj,2012,9,11
sj,2012,10,11
sj,2012,11,11
sj,2012,12,11
sj,2012,13,15
sj,2012,14,19
sj,2012,15,16
sj,2012,16,30
sj,2012,17,19
sj,2012,18,27
sj,2012,19,25
sj,2012,20,26
sj,2012,21,18
sj,2012,22,16
sj,2012,23,18
sj,2012,24,20
sj,2012,25,18
sj,2012,26,27
sj,2012,27,32
sj,2012,28,42
sj,2012,29,35
sj,2012,30,22
sj,2012,31,28
sj,2012,32,33
sj,2012,33,48
sj,2012,34,42
sj,2012,35,32
sj,2012,36,18
sj,2012,37,25
sj,2012,38,28
sj,2012,39,30
sj,2012,40,40
sj,2012,41,37
sj,2012,42,47
sj,2012,43,47
sj,2012,44,29
sj,2012,45,34
sj,2012,46,54
sj,2012,47,45
sj,2012,48,18
sj,2012,49,23
sj,2012,50,20
sj,2012,51,17
sj,2013,1,13
sj,2013,2,20
sj,2013,3,20
sj,2013,4,11
sj,2013,5,23
sj,2013,6,8
sj,2013,7,10
sj,2013,8,12
sj,2013,9,13
sj,2013,10,12
sj,2013,11,21
sj,2013,12,14
sj,2013,13,11
sj,2013,14,19
sj,2013,15,13
sj,2013,16,10
sj,2013,17,16
iq,2010,26,5
iq,2010,27,4
iq,2010,28,8
iq,2010,29,2
iq,2010,30,3
iq,2010,31,4
iq,2010,32,4
iq,2010,33,4
iq,2010,34,5
iq,2010,35,8
iq,2010,36,7
iq,2010,37,7
iq,2010,38,4
iq,2010,39,5
iq,2010,40,6
iq,2010,41,6
iq,2010,42,5
iq,2010,43,11
iq,2010,44,13
iq,2010,45,8
iq,2010,46,5
iq,2010,47,11
iq,2010,48,19
iq,2010,49,10
iq,2010,50,11
iq,2010,51,8
iq,2011,52,7
iq,2011,1,12
iq,2011,2,9
iq,2011,3,8
iq,2011,4,8
iq,2011,5,6
iq,2011,6,12
iq,2011,7,6
iq,2011,8,9
iq,2011,9,11
iq,2011,10,11
iq,2011,11,10
iq,2011,12,12
iq,2011,13,12
iq,2011,14,8
iq,2011,15,11
iq,2011,16,11
iq,2011,17,10
iq,2011,18,9
iq,2011,19,3
iq,2011,20,6
iq,2011,21,8
iq,2011,22,8
iq,2011,23,5
iq,2011,24,4
iq,2011,25,3
iq,2011,26,5
iq,2011,27,4
iq,2011,28,2
iq,2011,29,5
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,5
iq,2011,34,3
iq,2011,35,3
iq,2011,36,4
iq,2011,37,6
iq,2011,38,5
iq,2011,39,7
iq,2011,40,5
iq,2011,41,9
iq,2011,42,17
iq,2011,43,6
iq,2011,44,7
iq,2011,45,6
iq,2011,46,7
iq,2011,47,7
iq,2011,48,11
iq,2011,49,10
iq,2011,50,15
iq,2011,51,9
iq,2012,52,9
iq,2012,1,8
iq,2012,2,8
iq,2012,3,5
iq,2012,4,5
iq,2012,5,8
iq,2012,6,6
iq,2012,7,7
iq,2012,8,8
iq,2012,9,6
iq,2012,10,4
iq,2012,11,4
iq,2012,12,5
iq,2012,13,8
iq,2012,14,6
iq,2012,15,11
iq,2012,16,12
iq,2012,17,5
iq,2012,18,7
iq,2012,19,4
iq,2012,20,10
iq,2012,21,4
iq,2012,22,4
iq,2012,23,5
iq,2012,24,3
iq,2012,25,4
iq,2012,26,2
iq,2012,27,3
iq,2012,28,4
iq,2012,29,3
iq,2012,30,3
iq,2012,31,4
iq,2012,32,4
iq,2012,33,5
iq,2012,34,3
iq,2012,35,6
iq,2012,36,6
iq,2012,37,5
iq,2012,38,4
iq,2012,39,5
iq,2012,40,6
iq,2012,41,9
iq,2012,42,6
iq,2012,43,14
iq,2012,44,9
iq,2012,45,8
iq,2012,46,19
iq,2012,47,22
iq,2012,48,13
iq,2012,49,13
iq,2012,50,9
iq,2012,51,17
iq,2013,1,14
iq,2013,2,3
iq,2013,3,6
iq,2013,4,10
iq,2013,5,9
iq,2013,6,8
iq,2013,7,8
iq,2013,8,10
iq,2013,9,9
iq,2013,10,12
iq,2013,11,13
iq,2013,12,22
iq,2013,13,10
iq,2013,14,7
iq,2013,15,6
iq,2013,16,11
iq,2013,17,10
iq,2013,18,3
iq,2013,19,11
iq,2013,20,8
iq,2013,21,6
iq,2013,22,7
iq,2013,23,7
iq,2013,24,4
iq,2013,25,3
iq,2013,26,3
